Nodo,No. Paquete,Estatus del paquete,Tiempo de entrega,No. SEQ, No. Veces enviado,Tamaño en bytes,Iteración,Semilla,TTS,No. Paquetes a enviar,TA,TB,MTTS 
0,1,1,3.003435,767965516,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,2,1,2.190106,589280931,1,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,3,1,1.268109,2111328182,1,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,4,1,2.266566,1422592245,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,5,1,2.223288,186564240,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,6,1,1.887839,1055939447,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,7,1,2.272927,1641565274,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,8,1,1.782652,1627233961,1,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,9,1,1.779791,96009108,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,10,1,2.492546,774926091,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,11,1,1.602712,831433406,1,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,12,1,2.266991,1622226205,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,13,1,1.626689,767341656,1,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,14,1,2.497565,1430340959,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,15,1,1.759144,1031180002,1,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,16,1,1.873779,1610874961,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,17,1,2.290567,711027932,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,18,1,2.096680,162198131,1,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,19,1,1.522822,671407302,1,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,20,1,2.076015,890041413,2,1000,1,1,41.000116,20,1.000000,2.000000,5000
0,1,1,3.111448,1710443323,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,2,1,1.760419,406295982,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,3,1,1.529817,1418043853,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,4,1,2.608895,1267712456,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,5,1,1.794424,1031138959,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,6,1,2.274711,1063819986,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,7,1,1.691775,162181633,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,8,1,1.973737,1697313612,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,9,1,2.251692,15440035,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,10,1,2.069831,1872820662,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,11,1,2.074897,2046860021,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,12,1,2.103911,1560664208,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,13,1,1.806752,885267831,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,14,1,1.990278,448026202,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,15,1,2.036561,128979113,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,16,1,1.978751,119305620,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,17,1,1.678633,556667147,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,18,1,2.372879,1080562878,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,19,1,1.488401,95586077,1,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,20,1,2.401692,838241880,2,1000,2,4,41.000165,20,1.000000,2.000000,5000
0,1,1,4.724398,242909448,4,1000,4,13,81.000161,20,1.000000,2.000000,5000
0,2,1,4.246081,2004824783,4,1000,4,13,81.000161,20,1.000000,2.000000,5000
0,3,1,3.621954,1485674514,4,1000,4,13,81.000161,20,1.000000,2.000000,5000
0,4,1,4.265384,803073089,4,1000,4,13,81.000161,20,1.000000,2.000000,5000
0,5,1,4.336621,1417379468,4,1000,4,13,81.000161,20,1.000000,2.000000,5000
0,6,1,3.888070,1087461603,3,1000,4,13,81.000161,20,1.000000,2.000000,5000
0,7,1,3.859023,18998006,3,1000,4,13,81.000161,20,1.000000,2.000000,5000
0,8,1,4.083468,1907552565,4,1000,4,13,81.000161,20,1.000000,2.000000,5000
0,9,1,4.070324,1921216464,3,1000,4,13,81.000161,20,1.000000,2.000000,5000
